country,country_code,Year,Inflation_Rate,region,country_display
Nigeria,NGA,2005,17.8634933661605,Africa,Nigeria
Pakistan,PAK,2005,9.06332737030417,Emerging Markets,Pakistan
Turkiye,TUR,2005,8.17916036802008,Emerging Markets,Turkey
United States,USA,2005,3.3927468454955,Developed,USA
South Africa,ZAF,2005,2.06285308223427,Africa,South Africa
Zimbabwe,ZWE,2005,,Special Cases,Zimbabwe
Brazil,BRA,2006,4.18356812896909,Emerging Markets,Brazil
Germany,DEU,2006,1.57742642840563,Developed,Germany
"Egypt, Arab Rep.",EGY,2006,7.64452644526434,Africa,Egypt
Ethiopia,ETH,2006,12.2994763114824,Special Cases,Ethiopia
France,FRA,2006,1.67512449608726,Developed,France
Ghana,GHA,2006,11.6791839392492,Africa,Ghana
India,IND,2006,5.79652337561634,Emerging Markets,India
Japan,JPN,2006,0.249355116079085,Special Cases,Japan
Kenya,KEN,2006,14.4537342081708,Africa,Kenya
"Korea, Rep.",KOR,2006,2.24234028518921,Emerging Markets,South Korea
Nigeria,NGA,2006,8.22522152017047,Africa,Nigeria
Pakistan,PAK,2006,7.92108440058789,Emerging Markets,Pakistan
Turkiye,TUR,2006,9.59724212288446,Emerging Markets,Turkey
United States,USA,2006,3.22594410070404,Developed,USA
South Africa,ZAF,2006,3.2439076541923,Africa,South Africa
Zimbabwe,ZWE,2006,,Special Cases,Zimbabwe
Brazil,BRA,2007,3.64127299102652,Emerging Markets,Brazil
Germany,DEU,2007,2.2983440070095,Developed,Germany
"Egypt, Arab Rep.",EGY,2007,9.31896905799229,Africa,Egypt
Ethiopia,ETH,2007,17.2404008340897,Special Cases,Ethiopia
France,FRA,2007,1.48799805953859,Developed,France
Ghana,GHA,2007,10.7342665456292,Africa,Ghana
India,IND,2007,6.37288135593231,Emerging Markets,India
Japan,JPN,2007,0.060039454498669,Special Cases,Japan
Kenya,KEN,2007,9.75888023027529,Africa,Kenya
"Korea, Rep.",KOR,2007,2.53457382137932,Emerging Markets,South Korea
Nigeria,NGA,2007,5.38800796858626,Africa,Nigeria
Pakistan,PAK,2007,7.59868441050774,Emerging Markets,Pakistan
Turkiye,TUR,2007,8.75618090972632,Emerging Markets,Turkey
United States,USA,2007,2.85267248150138,Developed,USA
South Africa,ZAF,2007,6.17781214809388,Africa,South Africa
Zimbabwe,ZWE,2007,,Special Cases,Zimbabwe
Brazil,BRA,2008,5.67859390284168,Emerging Markets,Brazil
Germany,DEU,2008,2.62837981637219,Developed,Germany
"Egypt, Arab Rep.",EGY,2008,18.3168316831684,Africa,Egypt
Ethiopia,ETH,2008,44.3566858766951,Special Cases,Ethiopia
France,FRA,2008,2.81286194914785,Developed,France
Ghana,GHA,2008,16.494639613412,Africa,Ghana
India,IND,2008,8.34926704907581,Emerging Markets,India
Japan,JPN,2008,1.3800788616492,Special Cases,Japan
Kenya,KEN,2008,26.2398166445063,Africa,Kenya
"Korea, Rep.",KOR,2008,4.67389655533408,Emerging Markets,South Korea
Nigeria,NGA,2008,11.5810751748252,Africa,Nigeria
Pakistan,PAK,2008,20.2861210929554,Emerging Markets,Pakistan
Turkiye,TUR,2008,10.4441283764885,Emerging Markets,Turkey
United States,USA,2008,3.839100296651,Developed,USA
South Africa,ZAF,2008,9.90998456005467,Africa,South Africa
Zimbabwe,ZWE,2008,,Special Cases,Zimbabwe
Brazil,BRA,2009,4.88803479876798,Emerging Markets,Brazil
Germany,DEU,2009,0.312739007368446,Developed,Germany
"Egypt, Arab Rep.",EGY,2009,11.7634954386443,Africa,Egypt
